seed, graph_nodes, graph_edges,X, Y, H_graph_nodes, H_graph_edges, num_seperator, num_contained_separators
7,20,70,V14,V11,11,40,4,4/n
7,20,70,V0,V11,7,17,1,0/n
7,20,70,V0,V17,8,23,1,0/n
7,20,70,V18,V17,9,28,1,0/n
7,20,70,V12,V9,2,0,1,0/n
7,20,70,V1,V8,19,126,11,15/n
7,20,70,V7,V8,17,111,3,2/n
7,20,70,V12,V11,5,6,1,0/n
7,20,70,V0,V15,7,13,1,0/n
7,20,70,V10,V17,12,49,6,7/n
7,20,70,V3,V11,9,28,1,0/n
7,20,70,V0,V5,7,10,1,0/n
7,20,70,V0,V4,5,8,1,0/n
7,20,70,V9,V4,4,4,1,0/n
7,20,70,V9,V5,6,8,1,0/n
7,20,70,V0,V1,7,17,1,0/n
7,20,70,V3,V19,3,1,1,0/n
8,20,66,V8,V13,8,22,1,0/n
8,20,66,V12,V11,15,80,3,2/n
8,20,66,V12,V19,14,62,6,6/n
8,20,66,V4,V7,12,46,4,3/n
8,20,66,V6,V18,15,64,2,1/n
8,20,66,V0,V6,7,15,1,0/n
8,20,66,V2,V1,12,39,7,7/n
8,20,66,V4,V19,13,60,1,0/n
8,20,66,V8,V19,8,21,1,0/n
8,20,66,V16,V15,4,2,1,0/n
8,20,66,V7,V11,16,93,2,1/n
8,20,66,V14,V3,8,21,2,1/n
8,20,66,V0,V15,4,2,1,0/n
8,20,66,V15,V12,6,10,1,0/n
8,20,66,V16,V13,6,11,1,0/n
8,20,66,V15,V19,8,21,2,1/n
8,20,66,V14,V7,10,32,3,2/n
8,20,66,V16,V5,5,7,1,0/n
8,20,66,V14,V18,10,32,2,1/n
8,20,66,V2,V6,13,53,4,3/n
9,20,67,V17,V5,14,56,8,9/n
9,20,67,V13,V2,2,0,1,0/n
9,20,67,V10,V14,14,64,4,3/n
9,20,67,V5,V3,15,68,6,6/n
9,20,67,V7,V19,15,67,8,10/n
9,20,67,V1,V9,8,18,4,4/n
9,20,67,V13,V14,6,10,1,0/n
9,20,67,V18,V5,8,21,1,0/n
9,20,67,V3,V11,16,83,4,3/n
9,20,67,V13,V5,6,10,1,0/n
9,20,67,V2,V7,10,33,2,1/n
9,20,67,V14,V11,17,87,4,3/n
9,20,67,V6,V19,10,32,1,0/n
9,20,67,V16,V17,10,30,1,0/n
9,20,67,V15,V0,10,37,1,0/n
9,20,67,V6,V14,10,35,1,0/n
9,20,67,V8,V0,8,21,1,0/n
9,20,67,V2,V14,11,44,1,0/n
9,20,67,V4,V11,12,51,3,2/n
9,20,67,V5,V0,15,89,4,3/n
